customer_id,credit_lines_outstanding,loan_amt_outstanding,total_debt_outstanding,income,years_employed,fico_score,default,PD_Logistic,EL_Logistic,PD_Tree,EL_Tree
8153374,0,5221.545193,3915.471226,78039.38546,5,605,0,5.227595494444961e-11,2.456651351247079e-07,0.0,0.0
7442532,5,1958.928726,8228.75252,26648.43525,2,572,1,0.9999995869941931,1763.035125255955,1.0,1763.0358534000002
2256073,0,3363.009259,2027.83085,65866.71246,4,602,0,3.8863693058730107e-10,1.1762906363589903e-06,0.0,0.0
4885975,0,4766.648001,2501.730397,74356.88347,5,612,0,3.031820786646933e-11,1.3006460242854764e-07,0.0,0.0
4700614,1,1345.827718,1768.826187,23448.32631,6,631,0,8.333344905423983e-08,0.00010093721901636316,0.0,0.0
4661159,0,5376.886873,7189.121298,85529.84591,2,697,0,4.6722157330009435e-09,2.2609777898337162e-05,0.0,0.0
8291909,1,3634.057471,7085.980095,68691.57707,6,722,0,1.8445828352713655e-09,6.032988030056641e-06,0.0,0.0
4616950,4,3302.172238,13067.57021,50352.16821,3,545,1,0.9998311187303976,2971.453106664001,1.0,2971.9550142000003
3395789,0,2938.325123,1918.404472,53497.37754,4,676,0,3.5033419365223305e-10,9.264561863888732e-07,0.0,0.0
4045948,0,5396.366774,5298.824524,92349.55399,2,447,0,9.402153202319802e-08,0.00045663720430550657,0.0,0.0
1946105,5,4224.542337,18858.28272,76975.03318,7,640,1,0.9927344000459651,3774.463652151427,1.0,3802.0881033
7026356,1,5470.06369,10357.63606,98688.26823,5,636,0,1.3127912173342897e-08,6.462946413442078e-05,0.0,0.0
3555143,1,3440.842174,7009.017521,49413.51814,3,527,0,0.00014119145029244727,0.43723574709702945,0.0,0.0
1852525,1,4799.604414,7321.171391,81534.51708,5,638,0,1.5705836424677315e-08,6.78436216464989e-05,0.0,0.0
2436643,0,2909.447925,2713.013317,62340.39145,2,616,0,2.140969688920721e-08,5.6061358370264586e-05,0.0,0.0
1089094,0,3281.568882,6447.096241,63042.43756,3,644,0,1.6591958395195342e-08,4.900288892500052e-05,0.0,0.0
